A,B,Weight
Ferdinand_de_Saussure ,Jacques_Lacan ,1
Georg_Wilhelm_Friedrich_Hegel ,Jacques_Lacan ,1
Mufti_Muhammad_Shafi ,Mufti ,1
Terence_McKenna ,Robert_Anton_Wilson ,1
Aristotle ,Alexander_the_Great ,1
Emerich_de_Vattel ,Benjamin_Franklin ,1
Pierre-Joseph_Proudhon ,Benjamin_Tucker ,1
Josiah_Warren ,Benjamin_Tucker ,1
Max_Stirner ,Benjamin_Tucker ,1
Mary_Baker_Eddy ,Christianity ,1
George_Boole ,Claude_Shannon ,1
Joseph_de_Maistre ,Charles_Baudelaire ,1
Emanuel_Swedenborg ,Charles_Baudelaire ,1
Boethius ,Dante_Alighieri ,1
Otto_Weininger ,Elias_Canetti ,1
Giovanni_Pico_della_Mirandola ,Desiderius_Erasmus ,1
John_Colet ,Desiderius_Erasmus ,1
Georg_Wilhelm_Friedrich_Hegel ,Friedrich_Nietzsche ,1
Plato ,Friedrich_Nietzsche ,1
African_Spir ,Friedrich_Nietzsche ,1
Jean-Jacques_Rousseau ,Friedrich_Nietzsche ,1
Michel_de_Montaigne ,Friedrich_Nietzsche ,1
Arthur_Schopenhauer ,Friedrich_Nietzsche ,1
Empedocles ,Friedrich_Nietzsche ,1
Heraclitus ,Friedrich_Nietzsche ,1
Parmenides ,Friedrich_Nietzsche ,1
Protagoras ,Friedrich_Nietzsche ,1
Friedrich_Albert_Lange ,Friedrich_Nietzsche ,1
Baruch_Spinoza ,Friedrich_Nietzsche ,1
Epicurus ,Friedrich_Nietzsche ,1
Gottfried_Leibniz ,Friedrich_Nietzsche ,1
Immanuel_Kant ,Friedrich_Nietzsche ,1
Niccol%C3%B2_Machiavelli ,Friedrich_Nietzsche ,1
Max_Stirner ,Friedrich_Nietzsche ,1
George_Gurdjieff ,Frank_Lloyd_Wright ,1
Ahmad_Sirhindi ,Fiqh ,1
Shah_Waliullah ,Fiqh ,1
Abdulhakim_Arvasi ,Fiqh ,1
Georg_Wilhelm_Friedrich_Hegel ,Francis_Fukuyama ,1
Leo_Strauss ,Francis_Fukuyama ,1
Allan_Bloom ,Francis_Fukuyama ,1
Joseph_de_Maistre ,Francisco_Franco ,1
John_Locke ,George_Berkeley ,1
Nicolas_Malebranche ,George_Berkeley ,1
Friedrich_Wilhelm_Joseph_Schelling ,Georg_Wilhelm_Friedrich_Hegel ,1
Johannes_Scotus_Eriugena ,Georg_Wilhelm_Friedrich_Hegel ,1
Johann_Gottlieb_Fichte ,Georg_Wilhelm_Friedrich_Hegel ,1
Jean-Jacques_Rousseau ,Georg_Wilhelm_Friedrich_Hegel ,1
Nicholas_of_Cusa ,Georg_Wilhelm_Friedrich_Hegel ,1
Heraclitus ,Georg_Wilhelm_Friedrich_Hegel ,1
Friedrich_Heinrich_Jacobi ,Georg_Wilhelm_Friedrich_Hegel ,1
Johann_Gottfried_Herder ,Georg_Wilhelm_Friedrich_Hegel ,1
Jakob_B%C3%B6hme ,Georg_Wilhelm_Friedrich_Hegel ,1
Baruch_Spinoza ,Georg_Wilhelm_Friedrich_Hegel ,1
Immanuel_Kant ,Georg_Wilhelm_Friedrich_Hegel ,1
Montesquieu ,Georg_Wilhelm_Friedrich_Hegel ,1
Sextus_Empiricus ,Georg_Wilhelm_Friedrich_Hegel ,1
Anselm_of_Canterbury____1 ,Georg_Wilhelm_Friedrich_Hegel ,1
Rousas_John_Rushdoony ,Gary_North_%28Christian_Reconstructionist%29 ,1
Nicholas_of_Cusa ,Giordano_Bruno ,1
Johannes_Scotus_Eriugena ,Hildegard_of_Bingen ,1
Nicholas_of_Cusa ,Johannes_Kepler ,1
Pythagoras ,Johannes_Kepler ,1
George_Berkeley ,Jorge_Luis_Borges ,1
Arthur_Schopenhauer ,Jorge_Luis_Borges ,1
S%C3%B8ren_Kierkegaard ,Jorge_Luis_Borges ,1
Friedrich_Nietzsche ,Jean-Paul_Sartre ,1
Georg_Wilhelm_Friedrich_Hegel ,Jean-Paul_Sartre ,1
Albert_Camus ,Jean-Paul_Sartre ,1
Edmund_Husserl ,Jean-Paul_Sartre ,1
Alexander_Herzen ,Jean-Paul_Sartre ,1
Arthur_Schopenhauer ,Jean-Paul_Sartre ,1
Karl_Marx ,Jean-Paul_Sartre ,1
S%C3%B8ren_Kierkegaard ,Jean-Paul_Sartre ,1
Immanuel_Kant ,Jean-Paul_Sartre ,1
Friedrich_Engels ,Jean-Paul_Sartre ,1
Simone_de_Beauvoir ,Jean-Paul_Sartre ,1
Karl_Jaspers ,Jean-Paul_Sartre ,1
Posidonius ,Livy ,1
Karl_Jaspers ,Lacan ,1
Georg_Wilhelm_Friedrich_Hegel ,Max_Horkheimer ,1
Arthur_Schopenhauer ,Max_Horkheimer ,1
Proclus ,Marsilio_Ficino ,1
Epictetus ,Marcus_Aurelius ,1
Zeno_of_Citium ,Marcus_Aurelius ,1
Zeno_of_Elea ,Plato ,1
Heraclitus ,Plato ,1
Pythagoras ,Plato ,1
Parmenides ,Plato ,1
Protagoras ,Plato ,1
Socrates ,Plato ,1
Simone_Weil ,Pope_Paul_VI ,1
Albert_Camus ,Paul_Auster ,1
S%C3%B8ren_Kierkegaard ,Rainer_Maria_Rilke ,1
George_Berkeley ,Thomas_Reid ,1
Joseph_Butler____1 ,Thomas_Reid ,1
David_Hume ,Thomas_Henry_Huxley ,1
Arthur_Schopenhauer ,Thomas_Mann ,1
Max_Stirner ,Thomas_Mann ,1
F._H._Bradley ,T._S._Eliot ,1
Desiderius_Erasmus ,Thomas_More ,1
Giovanni_Pico_della_Mirandola ,Thomas_More ,1
Terence_McKenna ,Timothy_Leary ,1
Marshall_McLuhan ,Timothy_Leary ,1
Montesquieu ,United_States_Constitution ,1
Jean-Paul_Sartre ,William_S._Burroughs ,1
Edmund_Husserl ,Milan_Kundera ,1
Thomas_Kuhn ,Philosophy_of_science ,1
Friedrich_Nietzsche ,Martin_Heidegger ,1
Georg_Wilhelm_Friedrich_Hegel ,Martin_Heidegger ,1
Plato ,Martin_Heidegger ,1
Friedrich_Wilhelm_Joseph_Schelling ,Martin_Heidegger ,1
Duns_Scotus ,Martin_Heidegger ,1
Edmund_Husserl ,Martin_Heidegger ,1
Franz_Brentano ,Martin_Heidegger ,1
Meister_Eckhart ,Martin_Heidegger ,1
Heraclitus ,Martin_Heidegger ,1
Parmenides ,Martin_Heidegger ,1
S%C3%B8ren_Kierkegaard ,Martin_Heidegger ,1
Friedrich_Heinrich_Jacobi ,Martin_Heidegger ,1
Gottfried_Leibniz ,Martin_Heidegger ,1
Immanuel_Kant ,Martin_Heidegger ,1
Karl_Jaspers ,Martin_Heidegger ,1
Wilhelm_Dilthey ,Martin_Heidegger ,1
Giovanni_Gentile ,Martin_Heidegger ,1
Emil_Lask ,Martin_Heidegger ,1
Lucretius ,Ovid ,1
Karl_Marx ,Fidel_Castro ,1
Pseudo-Dionysius_the_Areopagite ,Scholasticism ,1
Porphyry_%28philosopher%29 ,Scholasticism ,1
Albertus_Magnus____1 ,Scholasticism ,1
Lev_Shestov ,D._H._Lawrence ,1
Confucius ,Physiocracy ,1
Arthur_Schopenhauer ,Swami_Vivekananda ,1
Confucius ,Fran%C3%A7ois_Quesnay ,1
Hermann_Lotze ,Gottlob_Frege ,1
Friedrich_Adolf_Trendelenburg ,Gottlob_Frege ,1
Michel_de_Montaigne ,Jos%C3%A9_Saramago ,1
Herbert_Marcuse ,Angela_Davis ,1
S%C3%B8ren_Kierkegaard ,Irvine_Welsh ,1
Hugo_Grotius ,Pierre-Joseph_Proudhon ,1
Pierre-Joseph_Proudhon ,Peter_Kropotkin ,1
Karl_Marx ,Peter_Kropotkin ,1
Henri_Bergson ,Nikos_Kazantzakis ,1
Friedrich_Nietzsche ,Jacques_Derrida ,1
Ferdinand_de_Saussure ,Jacques_Derrida ,1
Georg_Wilhelm_Friedrich_Hegel ,Jacques_Derrida ,1
Paul_Ric%C5%93ur ,Jacques_Derrida ,1
Edmund_Husserl ,Jacques_Derrida ,1
Jean-Jacques_Rousseau ,Jacques_Derrida ,1
S%C3%B8ren_Kierkegaard ,Jacques_Derrida ,1
Kostas_Axelos ,Jacques_Derrida ,1
Alexandre_Koj%C3%A8ve ,Raymond_Queneau ,1
Jean-Jacques_Rousseau ,Sim%C3%B3n_Bol%C3%ADvar ,1
Benedetto_Croce ,Antonio_Gramsci ,1
Antonio_Labriola ,Antonio_Gramsci ,1
Karl_Marx ,Antonio_Gramsci ,1
Niccol%C3%B2_Machiavelli ,Antonio_Gramsci ,1
Georges_Sorel ,Antonio_Gramsci ,1
Albert_Camus ,Charles_Bukowski ,1
Jean-Paul_Sartre ,Iris_Murdoch ,1
Simone_Weil ,Iris_Murdoch ,1
Karl_Marx ,Ho_Chi_Minh ,1
Baruch_Spinoza ,David_Ben-Gurion ,1
Jacques_Lacan ,Louis_Althusser ,1
Ferdinand_de_Saussure ,Louis_Althusser ,1
Antonio_Gramsci ,Louis_Althusser ,1
Baruch_Spinoza ,Louis_Althusser ,1
Niccol%C3%B2_Machiavelli ,Louis_Althusser ,1
Gaston_Bachelard ,Louis_Althusser ,1
Edmund_Husserl ,Francisco_Varela ,1
Josiah_Warren ,Lysander_Spooner ,1
Edmund_Husserl ,Emmanuel_Levinas ,1
Martin_Buber ,Emmanuel_Levinas ,1
Gabriel_Marcel ,Emmanuel_Levinas ,1
Baruch_Spinoza ,Emmanuel_Levinas ,1
George_Boole ,Augustus_De_Morgan ,1
Karl_Korsch ,Bertolt_Brecht ,1
Stanley_Cavell ,Charles_Bernstein ,1
Parmenides ,Zeno_of_Elea ,1
Confucius ,Eastern_philosophy ,1
Nicholas_of_Cusa ,Giovanni_Pico_della_Mirandola ,1
Murray_Rothbard ,Jan_Narveson ,1
Gottlob_Frege ,Analytic_philosophy ,1
Rudolf_Carnap ,Analytic_philosophy ,1
Muhammad_Iqbal ,Indian_independence_movement ,1
Kazi_Nazrul_Islam ,Indian_independence_movement ,1
Khwaja_Shamsuddin_Azimi ,Islamic_philosophy ,1
Ahmad_Sirhindi ,Islamic_philosophy ,1
Aristotle ,Islamic_philosophy ,1
Shah_Waliullah ,Islamic_philosophy ,1
Abdulhakim_Arvasi ,Islamic_philosophy ,1
Mulla_Sadra ,Islamic_philosophy ,1
Cesare_Cremonini_%28philosopher%29 ,Gabriel_Naud%C3%A9 ,1
Kenneth_Waltz ,Stephen_Walt ,1
S%C3%B8ren_Kierkegaard ,Miguel_de_Unamuno ,1
Karl_Marx ,Rosa_Luxemburg ,1
Friedrich_Engels ,Rosa_Luxemburg ,1
Arthur_Schopenhauer ,Michel_Houellebecq ,1
Claude_Vorilhon ,Michel_Houellebecq ,1
Thomas_Reid ,Victor_Cousin ,1
Maine_de_Biran ,Victor_Cousin ,1
David_Hume ,Adam_Ferguson ,1
William_Cleghorn ,Adam_Ferguson ,1
S%C3%B8ren_Kierkegaard ,Viktor_Frankl ,1
Giordano_Bruno ,Friedrich_Wilhelm_Joseph_Schelling ,1
Johann_Gottlieb_Fichte ,Friedrich_Wilhelm_Joseph_Schelling ,1
Jakob_B%C3%B6hme ,Friedrich_Wilhelm_Joseph_Schelling ,1
Baruch_Spinoza ,Friedrich_Wilhelm_Joseph_Schelling ,1
Immanuel_Kant ,Friedrich_Wilhelm_Joseph_Schelling ,1
Cornelius_Van_Til ,Francis_Schaeffer ,1
Rousas_John_Rushdoony ,Francis_Schaeffer ,1
Muhammad_Husayn_Tabatabaei ,Hossein_Nasr ,1
George_Gurdjieff ,Osho_%28Bhagwan_Shree_Rajneesh%29 ,1
Kitaro_Nishida ,Kuki_Sh%C5%ABz%C5%8D ,1
Henri_Bergson ,Kuki_Sh%C5%ABz%C5%8D ,1
Edmund_Burke ,B._R._Ambedkar ,1
Jyotirao_Phule ,B._R._Ambedkar ,1
Othmar_Spann ,Herman_Dooyeweerd ,1
Mozi ,School_of_Names ,1
Jean-Fran%C3%A7ois_Lyotard ,Richard_Rorty ,1
Wilfrid_Sellars ,Richard_Rorty ,1
Thomas_Kuhn ,Richard_Rorty ,1
William_James ,Richard_Rorty ,1
Donald_Davidson_%28philosopher%29 ,Richard_Rorty ,1
Gianni_Vattimo ,Richard_Rorty ,1
Hubert_Dreyfus ,Richard_Rorty ,1
Hans-Georg_Gadamer ,Richard_Rorty ,1
Herbert_Spencer ,Henry_Sidgwick ,1
Friedrich_Nietzsche ,Leo_Strauss ,1
Georg_Wilhelm_Friedrich_Hegel ,Leo_Strauss ,1
Jean-Jacques_Rousseau ,Leo_Strauss ,1
Eric_Voegelin ,Leo_Strauss ,1
Maimonides ,Leo_Strauss ,1
Ernst_Cassirer ,Leo_Strauss ,1
Baruch_Spinoza ,Leo_Strauss ,1
Immanuel_Kant ,Leo_Strauss ,1
George_Gurdjieff ,Peter_Brook ,1
George_Gurdjieff ,Maurice_Nicoll ,1
Murray_Rothbard ,Wendy_McElroy ,1
Friedrich_Adolf_Trendelenburg ,Rudolf_Christoph_Eucken ,1
Friedrich_Nietzsche ,Jean_Baudrillard ,1
Cornelius_Castoriadis ,Jean_Baudrillard ,1
Michel_de_Montaigne ,Jean-Fran%C3%A7ois_Lyotard ,1
Karl_Marx ,Jean-Fran%C3%A7ois_Lyotard ,1
Noam_Chomsky ,Michael_Albert ,1
Al-Jahiz ,Ab%C5%AB_Ray%E1%B8%A5%C4%81n_al-B%C4%ABr%C5%ABn%C4%AB ,1
Ren%C3%A9_Gu%C3%A9non ,Ananda_Coomaraswamy ,1
Joseph_de_Maistre ,Julius_Evola ,1
Ren%C3%A9_Gu%C3%A9non ,Julius_Evola ,1
Otto_Weininger ,Julius_Evola ,1
Peter_Kropotkin ,Anarchist_Federation_%28Britain_and_Ireland%29 ,1
Georg_Wilhelm_Friedrich_Hegel ,Charles_Taylor_%28philosopher%29 ,1
Hubert_Dreyfus ,Charles_Taylor_%28philosopher%29 ,1
Hannah_Arendt ,Charles_Taylor_%28philosopher%29 ,1
Marshall_McLuhan ,Neil_Postman ,1
Edmund_Burke ,"William_F._Buckley,_Jr. ",1
Eric_Voegelin ,"William_F._Buckley,_Jr. ",1
John_Zerzan ,Derrick_Jensen ,1
J._M._E._McTaggart ,Peter_Geach ,1
Peter_Kropotkin ,Nestor_Makhno ,1
Jacques_Derrida ,Paul_de_Man ,1
Jean-Jacques_Rousseau ,Paul_de_Man ,1
Maurice_Blanchot ,Paul_de_Man ,1
Joseph_Dietzgen ,Antonie_Pannekoek ,1
Ernest_Gellner ,Raymond_Aron ,1
Friedrich_Wilhelm_Joseph_Schelling ,Johann_Wolfgang_von_Goethe ,1
Jean-Jacques_Rousseau ,Johann_Wolfgang_von_Goethe ,1
Johann_Gottfried_Herder ,Johann_Wolfgang_von_Goethe ,1
Baruch_Spinoza ,Johann_Wolfgang_von_Goethe ,1
Pierre-Joseph_Proudhon ,Leo_Tolstoy ,1
Peter_Kropotkin ,Leo_Tolstoy ,1
African_Spir ,Leo_Tolstoy ,1
Petr_Chel%C4%8Dick%C3%BD ,Leo_Tolstoy ,1
Jean-Jacques_Rousseau ,Leo_Tolstoy ,1
Arthur_Schopenhauer ,Leo_Tolstoy ,1
Giordano_Bruno ,Giorgio_Agamben ,1
Martin_Heidegger ,Giorgio_Agamben ,1
Jacob_Taubes ,Giorgio_Agamben ,1
Michel_Foucault ,Giorgio_Agamben ,1
Hannah_Arendt ,Giorgio_Agamben ,1
Gilbert_Ryle ,Wilfrid_Sellars ,1
Stanley_Cavell ,Martha_Nussbaum ,1
Johann_Gottfried_Herder ,%C4%BDudov%C3%ADt_%C5%A0t%C3%BAr ,1
Paul_Watzlawick ,Constructivist_epistemology ,1
Zhu_Xi ,Joseph_Needham ,1
Adam_Weishaupt ,Percy_Bysshe_Shelley ,1
Benedetto_Croce ,R._G._Collingwood ,1
F._H._Bradley ,R._G._Collingwood ,1
Wilhelm_Dilthey ,R._G._Collingwood ,1
David_Hume ,African_Spir ,1
David_Hume ,David_Lewis_%28philosopher%29 ,1
Hilary_Putnam ,David_Lewis_%28philosopher%29 ,1
Willard_Van_Orman_Quine ,David_Lewis_%28philosopher%29 ,1
Rudolf_Carnap ,David_Lewis_%28philosopher%29 ,1
Gordon_Clark ,Carl_F._H._Henry ,1
George_Gurdjieff ,Alfred_Richard_Orage ,1
Herbert_McCabe ,Terry_Eagleton ,1
Maurice_Halbwachs ,Paul_Ric%C5%93ur ,1
Edmund_Husserl ,Paul_Ric%C5%93ur ,1
Karl_Jaspers ,Paul_Ric%C5%93ur ,1
Zhuangzi ,Zen ,1
Antonio_Gramsci ,Stuart_Hall_%28cultural_theorist%29 ,1
Muhammad_ibn_Abd_al-Wahhab ,Syed_Ahmed_Khan ,1
"Victoria,_Lady_Welby ",Charles_Kay_Ogden ,1
Parmenides ,Melissus_of_Samos ,1
Jean-Jacques_Rousseau ,Louis_Antoine_de_Saint-Just ,1
Albert_Camus ,Jacques_Monod ,1
William_Petty ,Bernard_Mandeville ,1
Michael_Walzer ,Michael_Sandel ,1
Alfred_North_Whitehead ,Charles_Hartshorne ,1
Paul_Watzlawick ,Family_therapy ,1
Leo_Strauss ,Harvey_Mansfield ,1
Allan_Bloom ,Harvey_Mansfield ,1
Herbert_McCabe ,Alasdair_MacIntyre ,1
R._Radhakrishnan ,Homi_K._Bhabha ,1
Edward_Said ,Homi_K._Bhabha ,1
Zhu_Xi ,Wang_Yangming ,1
Johannes_Scotus_Eriugena ,Honorius_Augustodunensis ,1
Richard_Cantillon ,"Victor_de_Riqueti,_marquis_de_Mirabeau ",1
John_Zerzan ,Green_Anarchy ,1
Josiah_Warren ,Ezra_Heywood ,1
Plato ,Anselm_of_Canterbury ,1
Judith_Butler ,Kate_Bornstein ,1
Edmund_Husserl ,Jos%C3%A9_Ortega_y_Gasset ,1
Wilhelm_Dilthey ,Jos%C3%A9_Ortega_y_Gasset ,1
Maurice_Merleau-Ponty ,Cornelius_Castoriadis ,1
Hannah_Arendt ,Cornelius_Castoriadis ,1
George_Grant_%28philosopher%29 ,Dennis_Lee_%28author%29 ,1
Cornelius_Van_Til ,Timothy_J._Keller ,1
Gianni_Vattimo ,Lorenzo_Ferrero ,1
Suzanne_Briet ,Michael_Buckland ,1
Alexandre_Koyr%C3%A9 ,Thomas_Kuhn ,1
Pierre_Duhem ,Thomas_Kuhn ,1
Gaston_Bachelard ,Thomas_Kuhn ,1
Mencius ,Timeline_of_Eastern_philosophers ,1
Martin_Buber ,Ivan_B%C3%B6sz%C3%B6rm%C3%A9nyi-Nagy ,1
A._J._Ayer ,Mihailo_Markovi%C4%87 ,1
Friedrich_Nietzsche ,Alexandre_Koj%C3%A8ve ,1
Georg_Wilhelm_Friedrich_Hegel ,Alexandre_Koj%C3%A8ve ,1
Leo_Strauss ,Alexandre_Koj%C3%A8ve ,1
Vladimir_Solovyov_%28philosopher%29 ,Alexandre_Koj%C3%A8ve ,1
Herbert_Marcuse ,Henri_Lefebvre ,1
Michael_Walzer ,Michael_W._Doyle ,1
Joseph_de_Maistre ,George_Fitzhugh ,1
Mulla_Sadra ,Iranian_philosophy ,1
Willard_Van_Orman_Quine ,David_Kaplan_%28philosopher%29 ,1
Rudolf_Carnap ,David_Kaplan_%28philosopher%29 ,1
Lev_Shestov ,Jules_de_Gaultier ,1
Antonio_Gramsci ,Jalal_Al-e-Ahmad ,1
Eric_Voegelin ,David_Walsh ,1
Arcesilaus ,Philo_of_Larissa ,1
Carneades ,Philo_of_Larissa ,1
Hannah_Arendt ,J._G._A._Pocock ,1
Michael_Oakeshott ,J._G._A._Pocock ,1
Hermann_Ulrici ,Andrew_Seth_Pringle-Pattison ,1
Jacob_Taubes ,Peter_Sloterdijk ,1
Kenneth_Waltz ,John_Mearsheimer ,1
S%C3%B8ren_Kierkegaard ,Lev_Shestov ,1
Hannah_Arendt ,Hanna_Fenichel_Pitkin ,1
Stanley_Cavell ,Hanna_Fenichel_Pitkin ,1
Hubert_Dreyfus ,Tim_van_Gelder ,1
Mu%27ayyad_fi%27l-Din_al-Shirazi ,Nasir_Khusraw ,1
Abul_Ala_Maududi ,Khurshid_Ahmad_%28Islamic_scholar%29 ,1
A._D._Gordon ,Rachel_Bluwstein ,1
Stilpo ,Asclepiades_of_Phlius ,1
Peter_Singer ,Peter_Unger ,1
Alain_Badiou ,Quentin_Meillassoux ,1
Georg_Wilhelm_Friedrich_Hegel ,Arthur_Danto ,1
Moses_Mendelssohn ,David_Friedl%C3%A4nder ,1
Friedrich_Nietzsche ,Walter_Kaufmann_%28philosopher%29 ,1
Martin_Buber ,Walter_Kaufmann_%28philosopher%29 ,1
Aristotle ,Duns_Scotus ,1
Pseudo-Dionysius_the_Areopagite ,Johannes_Scotus_Eriugena ,1
Plotinus ,Johannes_Scotus_Eriugena ,1
Arthur_Prior ,Max_Cresswell ,1
Karl_Marx ,Manabendra_Nath_Roy ,1
Edward_Said ,Ranajit_Guha ,1
Aristippus ,Hegesias_of_Cyrene ,1
Gerald_Cohen ,Jonathan_Wolff_%28philosopher%29 ,1
R._Radhakrishnan ,David_Lloyd ,1
Al-Kindi ,Isaac_Israeli_ben_Solomon ,1
John_Zerzan ,Species_Traitor ,1
Kitaro_Nishida ,Keiji_Nishitani ,1
Epicurus ,Metrodorus_of_Lampsacus_%28the_younger%29 ,1
Edmund_Burke ,Russell_Kirk ,1
Eric_Voegelin ,Russell_Kirk ,1
Muhammad_ibn_Abd_al-Wahhab ,Muhammad_Nasiruddin_al-Albani ,1
Hermann_Lotze ,Wilhelm_Windelband ,1
Hermann_Lotze ,George_Trumbull_Ladd ,1
Vladimir_Solovyov_%28philosopher%29 ,Pavel_Florensky ,1
John_Anderson_%28philosopher%29 ,David_Stove ,1
Marshall_McLuhan ,Paul_Levinson ,1
Leo_Strauss ,Harry_V._Jaffa ,1
Alfred_North_Whitehead ,William_Irwin_Thompson ,1
Marshall_McLuhan ,William_Irwin_Thompson ,1
Noam_Chomsky ,Neil_Smith_%28linguist%29 ,1
Stanley_Cavell ,Stephen_Mulhall ,1
Peter_Kropotkin ,Luigi_Galleani ,1
A._D._Gordon ,Berl_Katznelson ,1
Meister_Eckhart ,Johannes_Tauler ,1
Murray_Rothbard ,The_Market_for_Liberty ,1
Nikolay_Lossky ,Vladimir_Lossky ,1
Ferdinand_de_Saussure ,Claude_L%C3%A9vi-Strauss ,1
Georg_Wilhelm_Friedrich_Hegel ,Claude_L%C3%A9vi-Strauss ,1
Jean-Jacques_Rousseau ,Claude_L%C3%A9vi-Strauss ,1
Maurice_Merleau-Ponty ,Claude_L%C3%A9vi-Strauss ,1
Bernard_Stiegler ,Daniel_Ross_%28Australian_philosopher_and_filmmaker%29 ,1
Michael_Walzer ,Jean_Bethke_Elshtain ,1
George_Grant_%28philosopher%29 ,Matt_Cohen_%28writer%29 ,1
Leo_Strauss ,Peter_Berkowitz ,1
Louis_Althusser ,Nicos_Poulantzas ,1
Cornelius_Castoriadis ,Takis_Fotopoulos ,1
Leonard_Peikoff ,Tara_Smith_%28philosopher%29 ,1
W._D._Ross ,Tara_Smith_%28philosopher%29 ,1
Leo_Strauss ,Joseph_Cropsey ,1
Edmund_Husserl ,Dallas_Willard ,1
Josiah_Warren ,%C3%89mile_Armand ,1
Max_Stirner ,%C3%89mile_Armand ,1
Karel_Kos%C3%ADk ,Reception_theory ,1
Georges_Palante ,Louis_Guilloux ,1
Peter_Kropotkin ,Volin ,1
Simone_Weil ,Dewi_Zephaniah_Phillips ,1
Murray_Rothbard ,Joseph_Salerno ,1
Leonard_Peikoff ,George_H._Smith ,1
Hilary_Putnam ,Tyler_Burge ,1
Giovanni_Gentile ,Edwin_Arthur_Burtt ,1
S%C3%B8ren_Kierkegaard ,Hans_Urs_von_Balthasar ,1
Muhammad_Husayn_Tabatabaei ,Morteza_Motahhari ,1
Hannah_Arendt ,Michael_Marrus ,1
Pierre_Duhem ,Stanley_Jaki ,1
William_A._Earle ,Peter_Suber ,1
Jakob_B%C3%B6hme ,Pierre_Poiret ,1
Rudolf_Steiner ,Jennifer_Gidley ,1
Karl_Marx ,Dimitris_Christofias ,1
Tahir-ul-Qadri ,Timothy_Winter ,1
Simone_Weil ,Peter_Winch ,1
Ren%C3%A9_Gu%C3%A9non ,Jean-Louis_Michon ,1
John_Anderson_%28philosopher%29 ,David_Malet_Armstrong ,1
Ka%27ab_al-Ahbar ,Abu_Hurairah ,1
Philippa_Foot ,Judith_Jarvis_Thomson ,1
Georg_Wilhelm_Friedrich_Hegel ,Alexandre_Koyr%C3%A9 ,1
Edwin_Arthur_Burtt ,Alexandre_Koyr%C3%A9 ,1
